playerID,yearID,HR
ruthba01,1914,0
ruthba01,1915,4
ruthba01,1916,3
ruthba01,1917,2
ruthba01,1918,11
ruthba01,1919,29
ruthba01,1920,54
ruthba01,1921,59
ruthba01,1922,35
ruthba01,1923,41
ruthba01,1924,46
ruthba01,1925,25
ruthba01,1926,47
ruthba01,1927,60
ruthba01,1928,54
ruthba01,1929,46
ruthba01,1930,49
ruthba01,1931,46
ruthba01,1932,41
ruthba01,1933,34
ruthba01,1934,22
ruthba01,1935,6
mayswi01,1951,20
mayswi01,1952,4
aaronha01,1954,13
mayswi01,1954,41
aaronha01,1955,27
mayswi01,1955,51
aaronha01,1956,26
mayswi01,1956,36
aaronha01,1957,44
mayswi01,1957,35
aaronha01,1958,30
mayswi01,1958,29
aaronha01,1959,39
mayswi01,1959,34
aaronha01,1960,40
mayswi01,1960,29
aaronha01,1961,34
mayswi01,1961,40
aaronha01,1962,45
mayswi01,1962,49
aaronha01,1963,44
mayswi01,1963,38
aaronha01,1964,24
mayswi01,1964,47
aaronha01,1965,32
mayswi01,1965,52
aaronha01,1966,44
mayswi01,1966,37
aaronha01,1967,39
mayswi01,1967,22
aaronha01,1968,29
mayswi01,1968,23
aaronha01,1969,44
mayswi01,1969,13
aaronha01,1970,38
mayswi01,1970,28
aaronha01,1971,47
mayswi01,1971,18
aaronha01,1972,34
mayswi01,1972,0
mayswi01,1972,8
aaronha01,1973,40
mayswi01,1973,6
aaronha01,1974,20
aaronha01,1975,12
aaronha01,1976,10
bondsba01,1986,16
bondsba01,1987,25
bondsba01,1988,24
bondsba01,1989,19
bondsba01,1990,33
bondsba01,1991,25
bondsba01,1992,34
bondsba01,1993,46
bondsba01,1994,37
bondsba01,1995,33
bondsba01,1996,42
bondsba01,1997,40
bondsba01,1998,37
bondsba01,1999,34
bondsba01,2000,49
bondsba01,2001,73
bondsba01,2002,46
bondsba01,2003,45
bondsba01,2004,45
bondsba01,2005,5
bondsba01,2006,26
bondsba01,2007,28
